Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Vsource.SOURCE,    186.488,   149.68,    145.084,   -17.21,     55.897,   -66.39,          0,     0.00, 2.57244E-12,   -45.00,    186.488,   -30.32,    145.084,   162.79,     55.897,   113.61,          0,     0.00, 2.57244E-12,   135.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Transformer.G_M1125934,    27.8444,   -60.32,     169.36,   -30.93,    99.5896,   -60.18,    287.352,   136.54,  8.2818E-6,   -47.48,    1076.11,   -60.13,    2185.98,   154.45,    1436.29,    -0.38,          0,     0.00, 9.09495E-13,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Reactor.G_M1125934,    287.352,   -43.46,          0,     0.00,          0,     0.00,          0,     0.00,    287.352,   -43.46,    287.352,   136.54,          0,     0.00,          0,     0.00,          0,     0.00,    287.352,   136.54,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.HVMV_SUB_CONNECTOR,    562.853,   -37.99,    2233.88,   151.59,    439.433,    75.82,          0,     0.00,    1817.53,   141.06,    562.853,   142.01,    2233.88,   -28.41,    439.433,  -104.18,          0,     0.00,    1817.53,   -38.94,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5502549-1,    1.05076,   168.88,          0,     0.00,          0,     0.00,          0,     0.00,    1.05076,   168.88,    1.05084,   -11.14,          0,     0.00,          0,     0.00,          0,     0.00,    1.05084,   -11.14,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6259988-1,    1.49144,    67.25,          0,     0.00,          0,     0.00,          0,     0.00,    1.49144,    67.25,    1.49191,  -112.82,          0,     0.00,          0,     0.00,          0,     0.00,    1.49191,  -112.82,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077796-1,   0.910546,   168.97,          0,     0.00,          0,     0.00,          0,     0.00,   0.910546,   168.97,   0.910573,   -11.04,          0,     0.00,          0,     0.00,          0,     0.00,   0.910573,   -11.04,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5835135-2,    8.37904,   168.79,          0,     0.00,          0,     0.00,          0,     0.00,    8.37904,   168.79,    8.37915,   -11.21,          0,     0.00,          0,     0.00,          0,     0.00,    8.37915,   -11.21,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5896826-1, 1.09344E-7,  -123.35,          0,     0.00,          0,     0.00,          0,     0.00, 1.09344E-7,  -123.35,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5714038-1,    1.63636,   171.81,          0,     0.00,          0,     0.00,          0,     0.00,    1.63636,   171.81,    1.63664,    -8.23,          0,     0.00,          0,     0.00,          0,     0.00,    1.63664,    -8.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5653457-1,    19.4286,   -60.01,    22.2404,   168.91,    17.4177,    60.65,          0,     0.00,    4.44138,   143.66,     19.429,   119.98,    22.2409,   -11.09,    17.4183,  -119.36,          0,     0.00,    4.44105,   -36.34,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
