Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"SOURCEBUS", 115, 1,    65539.1,   -0.8,    0.9871, 2,    65436.1, -120.0,   0.98555, 3,    66267.2,  119.7,   0.99807, 0, 0, 0, 0
"190-7361", 12.47, 1,    7433.37,  -41.3,    1.0325, 2,    4670.87, -173.5,   0.64877, 3,    7234.46,   82.4,    1.0048, 4,   0.287352,  -43.5, 0.000039912
"G_190-7361", 0.48, 1,    286.574,  -66.2,    1.0341, 2,    252.105,  163.4,   0.90971, 3,    227.913,   56.5,   0.82241, 0, 0, 0, 0
"_HVMV_SUB_LSB", 12.47, 1,    7501.68,  -36.7,     1.042, 2,     5427.4, -163.3,   0.75385, 3,    7310.38,   86.8,    1.0154, 0, 0, 0, 0
"HVMV_SUB_48332", 12.47, 1,    7501.68,  -36.7,     1.042, 2,    5427.39, -163.3,   0.75385, 3,    7310.38,   86.8,    1.0154, 0, 0, 0, 0
"M1009763", 12.47, 1,    7858.82,  -45.2,    1.0916, 2,    3795.09, -176.2,   0.52713, 3,    6761.86,   75.4,    0.9392, 0, 0, 0, 0
"L2673322", 12.47, 2,    3795.03, -176.2,   0.52712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069148", 12.47, 3,    7167.93,   82.1,   0.99561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2673309", 12.47, 3,    7167.63,   82.1,   0.99557, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069588", 12.47, 2,     3815.4, -176.1,   0.52995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2804270", 12.47, 2,    3815.38, -176.1,   0.52995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M3036164", 12.47, 2,    3717.48, -176.4,   0.51635, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2935553", 12.47, 2,    3716.74, -176.4,   0.51625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1209749", 12.47, 1,          0,    0.0,         0, 2,   0.219759,  146.6, 0.000030524, 3,          0,    0.0,         0, 0, 0, 0, 0
"L2748840", 12.47, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108264", 12.47, 2,    4645.96, -173.6,   0.64531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108263", 12.47, 2,    4645.66, -173.6,   0.64527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3085398", 12.47, 1,       7900,  -45.2,    1.0973, 2,    3815.45, -176.2,   0.52996, 3,    6781.81,   75.4,   0.94198, 0, 0, 0, 0
"M1026891", 12.47, 1,     7897.3,  -45.2,    1.0969, 2,     3812.2, -176.2,    0.5295, 3,    6779.59,   75.4,   0.94167, 0, 0, 0, 0
"L3216367", 12.47, 1,    7963.15,  -44.7,    1.1061, 2,    3776.08, -175.8,   0.52449, 3,    6724.16,   75.1,   0.93397, 0, 0, 0, 0
"M1069468", 12.47, 1,    7962.85,  -44.7,     1.106, 2,    3774.86, -175.8,   0.52432, 3,    6722.63,   75.1,   0.93376, 0, 0, 0, 0
"M1142800", 12.47, 2,    3810.44, -173.2,   0.52926, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1142799", 12.47, 2,    3810.35, -173.2,   0.52925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047592", 12.47, 1,    7997.24,  -44.6,    1.1108, 2,    3845.02, -176.0,   0.53406, 3,    6852.63,   75.6,   0.95181, 0, 0, 0, 0
"P827512", 12.47, 3,    6852.61,   75.6,   0.95181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047339", 12.47, 1,    7247.34,  -42.2,    1.0066, 2,    4507.48, -174.7,   0.62608, 3,    7151.47,   81.5,   0.99332, 0, 0, 0, 0
"P895104", 12.47, 1,    7247.29,  -42.2,    1.0066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026915", 12.47, 1,    7898.47,  -45.2,    1.0971, 2,    3816.67, -176.2,   0.53013, 3,    6780.85,   75.4,   0.94184, 0, 0, 0, 0
"M1026920", 12.47, 1,    7896.65,  -45.2,    1.0968, 2,    3816.19, -176.2,   0.53006, 3,     6779.5,   75.4,   0.94166, 0, 0, 0, 0
"N1138596", 12.47, 1,    7956.15,  -44.7,    1.1051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3254207", 12.47, 1,    7955.65,  -44.7,     1.105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069464", 12.47, 1,    7962.46,  -44.7,     1.106, 2,    3772.64, -175.8,   0.52401, 3,    6719.96,   75.1,   0.93338, 0, 0, 0, 0
"P873787", 12.47, 2,    3772.63, -175.8,   0.52401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1144665", 12.47, 1,    8015.74,  -44.4,    1.1134, 2,    3846.53, -175.9,   0.53427, 3,    6856.87,   75.6,    0.9524, 0, 0, 0, 0
"M1047515", 12.47, 1,    8010.95,  -44.4,    1.1127, 2,    3844.65, -175.9,   0.53401, 3,    6851.04,   75.6,   0.95159, 0, 0, 0, 0
"N1137002", 12.47, 1,    7990.99,  -44.5,    1.1099, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047707", 12.47, 1,    7990.68,  -44.5,    1.1099, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2729406", 12.47, 3,    7105.86,   80.0,   0.98699, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2897768", 12.47, 3,    7105.32,   80.0,   0.98691, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3649301", 12.47, 1,    7969.27,  -44.8,    1.1069, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3649302", 12.47, 1,    7968.89,  -44.8,    1.1069, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2970842", 12.47, 2,    4662.59, -173.6,   0.64762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1089113", 12.47, 2,    4661.54, -173.6,   0.64748, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047312", 12.47, 1,    7216.28,  -42.2,    1.0023, 2,    4485.18, -174.7,   0.62298, 3,    7137.91,   81.5,   0.99144, 0, 0, 0, 0
"P893163", 12.47, 1,    7216.21,  -42.2,    1.0023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2822871", 12.47, 1,    7924.37,  -45.0,    1.1007, 2,    3832.92, -176.1,   0.53238, 3,     6804.9,   75.5,   0.94518, 0, 0, 0, 0
"M1026872", 12.47, 1,    7922.33,  -45.0,    1.1004, 2,    3831.65, -176.1,   0.53221, 3,    6802.88,   75.5,    0.9449, 0, 0, 0, 0
"M1026312", 12.47, 2,    4389.45, -174.9,   0.60968, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973163", 12.47, 2,    4387.72, -175.0,   0.60944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3728038", 12.47, 1,    7957.25,  -44.6,    1.1052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3728039", 12.47, 1,    7956.73,  -44.6,    1.1052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
